dt,RKq,Eulerq,Verletq,Bussq,Johnsonq,Finchamq,Omelyanq,MercuryDPMq,SPIRALLq,SPIRALq,SPIRALOq,RKw,Eulerw,Verletw,Bussw,Johnsonw,Finchamw,Omelyanw,MercuryDPMw,SPIRALLw,SPIRALw,SPIRALOw
1.0000000000000001e-7,5.718933953554902e-9,1.2465268145249916e-6,1.6402268639058202e-7,3.5994530710227116e-8,1.068763333510432e-6,3.5361445374741796e-7,5.303543596927556e-9,1.0321842103216536e-5,5.296993201463242e-9,5.2992875854928095e-9,5.300120471886957e-9,5.981463525667672e-10,2.6959427588457087e-7,1.348399734623333e-7,3.6608013762908375e-8,3.662065706890295e-8,3.038722357866309e-7,5.292082832723231e-10,1.7093195102034608e-6,5.290590593227694e-10,5.292751436385125e-10,5.297422912090531e-10
2.06913808111479e-7,2.4471667226271337e-9,2.570369833886025e-6,3.3264672770849286e-7,7.919188668594754e-8,2.2207781013935587e-6,7.221171583348543e-7,2.236320024001761e-9,2.1360659740258798e-5,2.2500853500535833e-9,2.245065317347368e-9,2.2482978995700517e-9,2.311881888159589e-10,5.571493014693268e-7,2.785724681555853e-7,7.567103380338432e-8,7.567631319908721e-8,6.283644049172417e-7,1.979405416926669e-10,3.5372240907443862e-6,1.9926876538677953e-10,1.9848617972900761e-10,1.9844301938390182e-10
4.281332398719396e-7,5.427645372007295e-10,5.314108641242848e-6,6.865395331084574e-7,1.663567525702772e-7,4.5983783274252475e-6,1.4907976917866295e-6,4.0572191589222474e-10,4.4198878437465325e-5,4.484536847113014e-10,4.42090973334594e-10,4.434490583233387e-10,6.754904022979888e-11,1.1525725740314199e-6,5.762663895428742e-7,1.5654726694436563e-7,1.5655069915169265e-7,1.300023389536426e-6,5.033182697568065e-11,7.3192378289224085e-6,5.214308759510943e-11,5.145000308695524e-11,5.017581032933748e-11
8.858667904100833e-7,5.487780230061133e-10,1.0994811796015675e-5,1.4198339698233262e-6,3.446916557744979e-7,9.515270071983402e-6,3.0840106441523703e-6,3.2554616503677077e-10,9.145193616047567e-5,5.010386088200514e-10,4.96537034591833e-10,5.046751875964126e-10,5.1170382629252115e-11,2.384801366431357e-6,1.1923852686371142e-6,3.2390843223527073e-7,3.23918026970768e-7,2.689842595453846e-6,3.7561530597646046e-11,1.5145108949834226e-5,4.309642819193469e-11,4.320252175097161e-11,3.775583386493811e-11
1.8329807108324375e-6,2.4185285435111946e-10,2.2747160914943934e-5,2.9364540517193174e-6,7.140416360289145e-7,1.968940518461536e-5,6.38010546172931e-6,1.0160761074918715e-9,0.0001892171394826065,2.632573663623925e-10,2.801871792448427e-10,2.531225414760486e-10,1.663831175297511e-11,4.93459746316238e-6,2.467219649230304e-6,6.702040036582147e-7,6.702424418957051e-7,5.565370956189747e-6,4.519136527028187e-11,3.133852509952854e-5,2.0385603039617455e-11,2.009987191144071e-11,4.514958755007338e-11
3.792690190732246e-6,1.3051832874800154e-10,4.7062158057730984e-5,6.072722583896756e-6,1.4768079938254991e-6,4.073923657548684e-5,1.320180706488328e-5,3.1006175950384574e-9,0.00039147112795243555,1.347562265446969e-10,2.1939355775595342e-10,1.6876273772087037e-10,6.886516051109201e-12,1.0211125778787055e-5,5.105208671378986e-6,1.3866204501911966e-6,1.3867835884103908e-6,1.1514529081872616e-5,1.0389612117835644e-10,6.484700521736233e-5,4.9823822388750425e-12,4.972380641310898e-12,1.025583917387077e-10
7.847599703514607e-6,1.2255438243985778e-11,9.73526959975202e-5,1.2551024535864245e-5,3.055844749441021e-6,8.429223551517779e-5,2.731591532114332e-5,1.3778820267348547e-8,0.0008098485738885317,1.0439558054643881e-10,5.741003053459221e-10,4.648317272243526e-10,3.707644496127788e-12,2.1130873189672467e-5,1.0563906472463847e-5,2.868719965121993e-6,2.8694181641103843e-6,2.3820610209274713e-5,4.5920565385277565e-10,0.0001342140673095297,2.7345843125417023e-12,2.5609053760649466e-12,4.535470537673106e-10
1.623776739188721e-5,1.8191413100814033e-12,0.00020132696346291027,2.5909448502981613e-5,6.32305036139906e-6,0.000174396934102234,5.652008623059302e-5,5.902779384077416e-8,0.0016750373548617753,4.6392254446075744e-10,2.4440145807496252e-9,2.0111951706784478e-9,7.91345865257717e-13,4.37333917096148e-5,2.186012272011982e-5,5.93409768711003e-6,5.937088033996439e-6,4.9268592989280255e-5,1.9563899357274027e-9,0.0002778842234648344,6.370963335448151e-13,6.108275785979408e-13,1.9322303694287746e-9
3.359818286283781e-5,6.0093186078172854e-12,0.00041612892097164865,5.334037884169025e-5,1.3077591837151266e-5,0.00036081731231336135,0.00011693835185822124,2.5270090211438536e-7,0.0034626323065077218,1.9813069252709193e-9,1.0467780316984345e-8,8.603807469004944e-9,3.93629654901141e-13,9.054611075027744e-5,4.524489988693868e-5,1.2271652469457357e-5,1.2284450963693042e-5,0.00010186230308963714,8.372153574533312e-9,0.0005754167559080234,2.5879056392702917e-12,2.5547122232119504e-12,8.268950339473693e-9
6.951927961775606e-5,3.490830956245997e-12,0.0008590971290245271,0.00010922635013138209,2.704243222908777e-5,0.0007463960701349843,0.00024193149868956352,1.0817636699160242e-6,0.007151412738098288,8.477149734504837e-9,4.483321342005758e-8,3.6843941816298066e-8,1.5683475267213592e-13,0.00018757875287769645,9.366877988322161e-5,2.5362097209158697e-5,2.5416885882828972e-5,0.00021041710363071617,3.582276858149836e-8,0.0011928626088728654,2.202175129105446e-11,2.2053933974628956e-11,3.538094305310813e-8
